<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
28/05/19,00:00:00,41671.0000000,42796.0000000,41643.0000000,42225.0000000,7923
29/05/19,00:00:00,42230.0000000,43003.0000000,41902.0000000,42956.0000000,7020
30/05/19,00:00:00,43003.0000000,43257.0000000,42742.0000000,42780.0000000,4067
31/05/19,00:00:00,42742.0000000,43056.0000000,41979.0000000,42163.0000000,7118
03/06/19,00:00:00,42105.0000000,43095.0000000,41591.0000000,43018.0000000,10492
04/06/19,00:00:00,43195.0000000,43678.0000000,42374.0000000,42460.0000000,9248
05/06/19,00:00:00,42501.0000000,42730.0000000,41660.0000000,41737.0000000,4580
06/06/19,00:00:00,41750.0000000,41977.0000000,41092.0000000,41504.0000000,4423
07/06/19,00:00:00,41536.0000000,41798.0000000,40978.0000000,41087.0000000,5053
10/06/19,00:00:00,42167.0000000,42347.0000000,41958.0000000,42000.0000000,253
11/06/19,00:00:00,42144.0000000,42418.0000000,42090.0000000,42200.0000000,73
13/06/19,00:00:00,42200.0000000,42435.0000000,41892.0000000,42108.0000000,490
14/06/19,00:00:00,42260.0000000,42470.0000000,41395.0000000,41422.0000000,3588
17/06/19,00:00:00,41814.0000000,42152.0000000,41549.0000000,41614.0000000,217
18/06/19,00:00:00,41556.0000000,41854.0000000,41324.0000000,41729.0000000,704
19/06/19,00:00:00,41770.0000000,41894.0000000,41502.0000000,41630.0000000,1414
20/06/19,00:00:00,41720.0000000,42785.0000000,41720.0000000,42745.0000000,5542
21/06/19,00:00:00,42814.0000000,42814.0000000,42225.0000000,42569.0000000,3578
24/06/19,00:00:00,42648.0000000,42845.0000000,42160.0000000,42285.0000000,2637
25/06/19,00:00:00,42247.0000000,42305.0000000,41790.0000000,41997.0000000,2629
26/06/19,00:00:00,41964.0000000,42545.0000000,41938.0000000,42431.0000000,3456
27/06/19,00:00:00,42500.0000000,42630.0000000,41968.0000000,42123.0000000,2603
28/06/19,00:00:00,42145.0000000,42340.0000000,41940.0000000,42267.0000000,2459
01/07/19,00:00:00,42279.0000000,43025.0000000,41810.0000000,42390.0000000,6145
02/07/19,00:00:00,42417.0000000,42714.0000000,42217.0000000,42365.0000000,4184
03/07/19,00:00:00,42365.0000000,42941.0000000,42200.0000000,42777.0000000,4159
04/07/19,00:00:00,42777.0000000,43044.0000000,42342.0000000,42977.0000000,2285
05/07/19,00:00:00,43023.0000000,43126.0000000,42279.0000000,42536.0000000,4359
08/07/19,00:00:00,42518.0000000,42845.0000000,42388.0000000,42711.0000000,2169
09/07/19,00:00:00,42692.0000000,43100.0000000,42622.0000000,42670.0000000,3106
10/07/19,00:00:00,42727.0000000,43249.0000000,42554.0000000,42926.0000000,4297
11/07/19,00:00:00,43115.0000000,43236.0000000,42300.0000000,42408.0000000,2971
12/07/19,00:00:00,42393.0000000,42843.0000000,42106.0000000,42843.0000000,2551
15/07/19,00:00:00,42785.0000000,42817.0000000,42431.0000000,42500.0000000,2050
16/07/19,00:00:00,42471.0000000,42695.0000000,42334.0000000,42350.0000000,1762
17/07/19,00:00:00,42448.0000000,42658.0000000,42221.0000000,42551.0000000,2371
18/07/19,00:00:00,42587.0000000,42663.0000000,42184.0000000,42499.0000000,2264
19/07/19,00:00:00,42452.0000000,42642.0000000,42398.0000000,42517.0000000,1319
22/07/19,00:00:00,42451.0000000,42939.0000000,42050.0000000,42579.0000000,2346
23/07/19,00:00:00,42571.0000000,43658.0000000,42547.0000000,43441.0000000,4859
24/07/19,00:00:00,43422.0000000,43502.0000000,43120.0000000,43298.0000000,2137
25/07/19,00:00:00,43251.0000000,43453.0000000,43055.0000000,43239.0000000,2195
26/07/19,00:00:00,43369.0000000,43475.0000000,42749.0000000,42892.0000000,2256
29/07/19,00:00:00,42897.0000000,42981.0000000,42460.0000000,42801.0000000,1901
30/07/19,00:00:00,42803.0000000,42803.0000000,42250.0000000,42435.0000000,1218
31/07/19,00:00:00,42453.0000000,42701.0000000,42060.0000000,42251.0000000,2039
01/08/19,00:00:00,42279.0000000,42547.0000000,41842.0000000,41878.0000000,1906
