<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
18/04/19,00:00:00,124480.0000000,124490.0000000,123330.0000000,124450.0000000,321158
19/04/19,00:00:00,124400.0000000,124590.0000000,123880.0000000,124120.0000000,73620
22/04/19,00:00:00,124250.0000000,125780.0000000,124250.0000000,125410.0000000,208211
23/04/19,00:00:00,125500.0000000,126490.0000000,125040.0000000,125820.0000000,274012
24/04/19,00:00:00,125820.0000000,125820.0000000,123060.0000000,123690.0000000,359568
25/04/19,00:00:00,123570.0000000,123850.0000000,122260.0000000,122570.0000000,360924
26/04/19,00:00:00,122570.0000000,122810.0000000,121840.0000000,122670.0000000,356352
29/04/19,00:00:00,122680.0000000,123530.0000000,122350.0000000,123200.0000000,285203
30/04/19,00:00:00,123090.0000000,123300.0000000,121870.0000000,122790.0000000,288266
02/05/19,00:00:00,122700.0000000,122730.0000000,121240.0000000,122220.0000000,246378
03/05/19,00:00:00,122200.0000000,123570.0000000,121800.0000000,123190.0000000,270711
06/05/19,00:00:00,123170.0000000,123170.0000000,120730.0000000,122410.0000000,314286
07/05/19,00:00:00,122400.0000000,122680.0000000,120710.0000000,121040.0000000,339295
08/05/19,00:00:00,121040.0000000,121900.0000000,120600.0000000,121010.0000000,347029
10/05/19,00:00:00,120940.0000000,121030.0000000,118710.0000000,119900.0000000,347055
13/05/19,00:00:00,119900.0000000,120050.0000000,118400.0000000,118830.0000000,430704
14/05/19,00:00:00,118930.0000000,122500.0000000,118820.0000000,122440.0000000,470091
15/05/19,00:00:00,122500.0000000,122980.0000000,121580.0000000,122410.0000000,417553
16/05/19,00:00:00,122420.0000000,124340.0000000,122220.0000000,123030.0000000,388786
17/05/19,00:00:00,123030.0000000,123680.0000000,122760.0000000,122880.0000000,300261
20/05/19,00:00:00,122950.0000000,124030.0000000,122810.0000000,123160.0000000,271606
21/05/19,00:00:00,123210.0000000,125900.0000000,123160.0000000,125800.0000000,341946
22/05/19,00:00:00,125830.0000000,127470.0000000,125170.0000000,127100.0000000,336237
23/05/19,00:00:00,127020.0000000,127020.0000000,124550.0000000,125220.0000000,411777
24/05/19,00:00:00,125400.0000000,126890.0000000,125210.0000000,125700.0000000,293414
27/05/19,00:00:00,125760.0000000,126670.0000000,125690.0000000,126520.0000000,165432
28/05/19,00:00:00,126530.0000000,127000.0000000,124220.0000000,124790.0000000,381352
29/05/19,00:00:00,124710.0000000,126410.0000000,124010.0000000,126330.0000000,418725
30/05/19,00:00:00,126330.0000000,126980.0000000,125880.0000000,126200.0000000,359455
31/05/19,00:00:00,126170.0000000,126900.0000000,124770.0000000,125770.0000000,383164
03/06/19,00:00:00,125730.0000000,130230.0000000,125100.0000000,129360.0000000,686476
04/06/19,00:00:00,129690.0000000,130170.0000000,127850.0000000,128710.0000000,501682
05/06/19,00:00:00,128530.0000000,129360.0000000,127810.0000000,128150.0000000,334204
06/06/19,00:00:00,128180.0000000,130400.0000000,128080.0000000,130110.0000000,361427
07/06/19,00:00:00,130160.0000000,131180.0000000,130040.0000000,130450.0000000,269876
10/06/19,00:00:00,128230.0000000,130070.0000000,128050.0000000,128710.0000000,10858
11/06/19,00:00:00,128800.0000000,131630.0000000,128800.0000000,130870.0000000,15868
13/06/19,00:00:00,130400.0000000,131800.0000000,129910.0000000,131360.0000000,18848
14/06/19,00:00:00,131500.0000000,132690.0000000,130650.0000000,130880.0000000,48755
17/06/19,00:00:00,130810.0000000,132330.0000000,130530.0000000,131500.0000000,64403
18/06/19,00:00:00,131160.0000000,133160.0000000,127100.0000000,133100.0000000,81419
19/06/19,00:00:00,133100.0000000,133930.0000000,132610.0000000,133500.0000000,172252
20/06/19,00:00:00,133500.0000000,136650.0000000,133500.0000000,136020.0000000,386600
21/06/19,00:00:00,135950.0000000,135970.0000000,133800.0000000,135050.0000000,394261
24/06/19,00:00:00,135110.0000000,136350.0000000,135110.0000000,136180.0000000,221810
25/06/19,00:00:00,136080.0000000,136560.0000000,134460.0000000,135230.0000000,284491
26/06/19,00:00:00,135290.0000000,136610.0000000,134900.0000000,135940.0000000,291720
27/06/19,00:00:00,136010.0000000,137080.0000000,135270.0000000,136000.0000000,325664
28/06/19,00:00:00,135950.0000000,136780.0000000,134600.0000000,134970.0000000,315353
01/07/19,00:00:00,135290.0000000,138360.0000000,135290.0000000,137720.0000000,361058
02/07/19,00:00:00,137720.0000000,137910.0000000,136270.0000000,136760.0000000,270146
03/07/19,00:00:00,136730.0000000,137830.0000000,136130.0000000,137780.0000000,264551
04/07/19,00:00:00,137680.0000000,138850.0000000,137300.0000000,138600.0000000,206209
05/07/19,00:00:00,138540.0000000,138850.0000000,137140.0000000,137530.0000000,267197
