<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,Close,<VOL>
24/03/15,00:00:00,6.538.0000000,6.718.0000000,6.450.0000000,6.642.0000000,1.015.979
25/03/15,00:00:00,6.636.0000000,6.694.0000000,6.486.0000000,6.580.0000000,955.537
26/03/15,00:00:00,6.583.0000000,6.652.0000000,6.320.0000000,6.390.0000000,1.081.415
27/03/15,00:00:00,6.387.0000000,6.429.0000000,6.131.0000000,6.153.0000000,998.616
30/03/15,00:00:00,6.161.0000000,6.412.0000000,6.125.0000000,6.364.0000000,868.107
31/03/15,00:00:00,6.363.0000000,6.404.0000000,6.250.0000000,6.322.0000000,849.595
01/04/15,00:00:00,6.320.0000000,6.529.0000000,6.280.0000000,6.480.0000000,1.025.416
02/04/15,00:00:00,6.480.0000000,6.625.0000000,6.450.0000000,6.581.0000000,964.495
03/04/15,00:00:00,6.587.0000000,6.673.0000000,6.515.0000000,6.579.0000000,685.919
06/04/15,00:00:00,6.575.0000000,6.927.0000000,6.572.0000000,6.886.0000000,843.724
07/04/15,00:00:00,6.884.0000000,7.038.0000000,6.808.0000000,6.936.0000000,1.356.611
08/04/15,00:00:00,6.941.0000000,7.002.0000000,6.849.0000000,6.901.0000000,868.869
09/04/15,00:00:00,6.893.0000000,7.233.0000000,6.893.0000000,7.221.0000000,988.041
10/04/15,00:00:00,7.216.0000000,7.235.0000000,6.994.0000000,7.169.0000000,1.024.738
13/04/15,00:00:00,7.166.0000000,7.427.0000000,7.133.0000000,7.358.0000000,859.124
14/04/15,00:00:00,7.371.0000000,7.458.0000000,7.262.0000000,7.378.0000000,823.954
15/04/15,00:00:00,7.382.0000000,7.686.0000000,7.360.0000000,7.660.0000000,828.872
16/04/15,00:00:00,7.659.0000000,7.717.0000000,7.450.0000000,7.656.0000000,1.072.934
17/04/15,00:00:00,7.655.0000000,7.656.0000000,7.255.0000000,7.355.0000000,1.215.323
20/04/15,00:00:00,7.360.0000000,7.507.0000000,7.213.0000000,7.470.0000000,1.186.334
21/04/15,00:00:00,7.477.0000000,7.684.0000000,7.426.0000000,7.609.0000000,934.126
22/04/15,00:00:00,7.614.0000000,7.630.0000000,7.357.0000000,7.498.0000000,928.504
23/04/15,00:00:00,7.490.0000000,7.745.0000000,7.292.0000000,7.668.0000000,1.191.490
24/04/15,00:00:00,7.670.0000000,7.857.0000000,7.562.0000000,7.649.0000000,949.465
27/04/15,00:00:00,7.651.0000000,7.762.0000000,7.525.0000000,7.577.0000000,971.450
28/04/15,00:00:00,7.576.0000000,7.670.0000000,7.466.0000000,7.608.0000000,845.766
29/04/15,00:00:00,7.618.0000000,7.708.0000000,7.535.0000000,7.580.0000000,825.410
30/04/15,00:00:00,7.582.0000000,7.779.0000000,7.571.0000000,7.754.0000000,728.985
05/05/15,00:00:00,7.757.0000000,8.143.0000000,7.753.0000000,8.062.0000000,783.509
06/05/15,00:00:00,8.062.0000000,8.177.0000000,7.912.0000000,7.921.0000000,792.977
07/05/15,00:00:00,7.929.0000000,7.954.0000000,7.657.0000000,7.716.0000000,729.643
08/05/15,00:00:00,7.715.0000000,7.730.0000000,7.565.0000000,7.603.0000000,742.835
12/05/15,00:00:00,7.601.0000000,7.727.0000000,7.480.0000000,7.603.0000000,850.821
13/05/15,00:00:00,7.610.0000000,7.662.0000000,7.523.0000000,7.555.0000000,848.497
14/05/15,00:00:00,7.558.0000000,7.589.0000000,7.401.0000000,7.513.0000000,800.441
15/05/15,00:00:00,7.507.0000000,7.611.0000000,7.411.0000000,7.605.0000000,749.909
18/05/15,00:00:00,7.607.0000000,7.650.0000000,7.511.0000000,7.532.0000000,677.215
19/05/15,00:00:00,7.535.0000000,7.558.0000000,7.331.0000000,7.372.0000000,689.829
20/05/15,00:00:00,7.377.0000000,7.392.0000000,7.177.0000000,7.206.0000000,942.348
21/05/15,00:00:00,7.212.0000000,7.395.0000000,7.145.0000000,7.385.0000000,969.764
22/05/15,00:00:00,7.382.0000000,7.492.0000000,7.327.0000000,7.477.0000000,993.923
