<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,Close,<VOL>
20/03/12,00:00:00,9.947.0000000,9.957.0000000,9.675.0000000,9.756.0000000,659.668
21/03/12,00:00:00,9.762.0000000,9.888.0000000,9.686.0000000,9.807.0000000,660.358
22/03/12,00:00:00,9.800.0000000,9.833.0000000,9.463.0000000,9.554.0000000,722.769
23/03/12,00:00:00,9.570.0000000,9.753.0000000,9.497.0000000,9.741.0000000,621.016
26/03/12,00:00:00,9.742.0000000,9.970.0000000,9.731.0000000,9.957.0000000,528.241
27/03/12,00:00:00,9.959.0000000,10.025.0000000,9.641.0000000,9.674.0000000,580.584
28/03/12,00:00:00,9.675.0000000,9.748.0000000,9.390.0000000,9.466.0000000,803.712
29/03/12,00:00:00,9.477.0000000,9.565.0000000,9.269.0000000,9.405.0000000,770.956
30/03/12,00:00:00,9.418.0000000,9.526.0000000,9.331.0000000,9.433.0000000,640.983
02/04/12,00:00:00,9.446.0000000,9.543.0000000,9.365.0000000,9.496.0000000,570.180
03/04/12,00:00:00,9.498.0000000,9.737.0000000,9.481.0000000,9.639.0000000,670.746
04/04/12,00:00:00,9.630.0000000,9.711.0000000,9.500.0000000,9.585.0000000,669.131
05/04/12,00:00:00,9.587.0000000,9.690.0000000,9.300.0000000,9.648.0000000,904.098
06/04/12,00:00:00,9.656.0000000,9.674.0000000,9.435.0000000,9.460.0000000,516.573
09/04/12,00:00:00,9.460.0000000,9.498.0000000,9.240.0000000,9.472.0000000,708.823
10/04/12,00:00:00,9.470.0000000,9.595.0000000,9.278.0000000,9.331.0000000,808.775
11/04/12,00:00:00,9.335.0000000,9.616.0000000,9.335.0000000,9.477.0000000,740.777
12/04/12,00:00:00,9.479.0000000,9.565.0000000,9.350.0000000,9.479.0000000,786.717
13/04/12,00:00:00,9.472.0000000,9.589.0000000,9.415.0000000,9.507.0000000,725.106
16/04/12,00:00:00,9.506.0000000,9.506.0000000,9.222.0000000,9.325.0000000,841.070
17/04/12,00:00:00,9.314.0000000,9.469.0000000,9.202.0000000,9.466.0000000,795.082
18/04/12,00:00:00,9.459.0000000,9.549.0000000,9.331.0000000,9.381.0000000,787.794
19/04/12,00:00:00,9.392.0000000,9.564.0000000,9.360.0000000,9.429.0000000,807.244
20/04/12,00:00:00,9.437.0000000,9.609.0000000,9.437.0000000,9.578.0000000,623.683
23/04/12,00:00:00,9.571.0000000,9.571.0000000,9.255.0000000,9.377.0000000,713.174
24/04/12,00:00:00,9.380.0000000,9.443.0000000,9.223.0000000,9.349.0000000,741.739
25/04/12,00:00:00,9.356.0000000,9.493.0000000,9.356.0000000,9.470.0000000,572.719
26/04/12,00:00:00,9.470.0000000,9.494.0000000,9.235.0000000,9.395.0000000,667.083
27/04/12,00:00:00,9.384.0000000,9.484.0000000,9.258.0000000,9.448.0000000,733.852
28/04/12,00:00:00,9.449.0000000,9.499.0000000,9.415.0000000,9.481.0000000,106.127
02/05/12,00:00:00,9.490.0000000,9.644.0000000,9.365.0000000,9.394.0000000,635.861
03/05/12,00:00:00,9.394.0000000,9.430.0000000,9.262.0000000,9.284.0000000,646.588
04/05/12,00:00:00,9.284.0000000,9.323.0000000,9.067.0000000,9.182.0000000,882.694
05/05/12,00:00:00,9.168.0000000,9.168.0000000,9.035.0000000,9.065.0000000,147.222
07/05/12,00:00:00,9.050.0000000,9.050.0000000,8.724.0000000,8.941.0000000,636.018
08/05/12,00:00:00,8.955.0000000,9.091.0000000,8.818.0000000,9.021.0000000,698.169
10/05/12,00:00:00,9.017.0000000,9.235.0000000,8.976.0000000,9.163.0000000,809.122
11/05/12,00:00:00,9.151.0000000,9.167.0000000,8.996.0000000,9.091.0000000,678.777
12/05/12,00:00:00,9.091.0000000,9.180.0000000,9.069.0000000,9.129.0000000,128.828
14/05/12,00:00:00,9.129.0000000,9.129.0000000,8.785.0000000,8.802.0000000,704.209
15/05/12,00:00:00,8.808.0000000,8.936.0000000,8.677.0000000,8.780.0000000,951.472
16/05/12,00:00:00,8.765.0000000,8.839.0000000,8.620.0000000,8.667.0000000,912.025
17/05/12,00:00:00,8.685.0000000,8.777.0000000,7.850.0000000,7.905.0000000,1.867.813
18/05/12,00:00:00,7.886.0000000,8.140.0000000,7.592.0000000,7.796.0000000,1.725.330
21/05/12,00:00:00,7.807.0000000,8.260.0000000,7.807.0000000,8.211.0000000,1.072.168
22/05/12,00:00:00,8.214.0000000,8.361.0000000,8.100.0000000,8.200.0000000,1.022.486
23/05/12,00:00:00,8.187.0000000,8.187.0000000,7.816.0000000,8.050.0000000,1.169.417
24/05/12,00:00:00,8.043.0000000,8.197.0000000,7.820.0000000,8.139.0000000,1.278.328
25/05/12,00:00:00,8.140.0000000,8.298.0000000,8.000.0000000,8.017.0000000,893.305
28/05/12,00:00:00,8.020.0000000,8.214.0000000,8.018.0000000,8.089.0000000,572.464
29/05/12,00:00:00,8.095.0000000,8.450.0000000,8.054.0000000,8.431.0000000,1.022.955
30/05/12,00:00:00,8.430.0000000,8.430.0000000,8.210.0000000,8.301.0000000,970.027
31/05/12,00:00:00,8.290.0000000,8.371.0000000,8.059.0000000,8.224.0000000,1.265.923
01/06/12,00:00:00,8.216.0000000,8.235.0000000,7.808.0000000,7.918.0000000,1.378.488
04/06/12,00:00:00,7.900.0000000,7.908.0000000,7.658.0000000,7.883.0000000,897.497
05/06/12,00:00:00,7.885.0000000,7.988.0000000,7.755.0000000,7.830.0000000,732.426
06/06/12,00:00:00,7.832.0000000,8.104.0000000,7.787.0000000,8.090.0000000,917.754
07/06/12,00:00:00,8.090.0000000,8.385.0000000,8.005.0000000,8.295.0000000,1.083.088
08/06/12,00:00:00,8.285.0000000,8.285.0000000,8.055.0000000,8.207.0000000,704.402
09/06/12,00:00:00,8.210.0000000,8.232.0000000,8.145.0000000,8.159.0000000,89.259
13/06/12,00:00:00,8.276.0000000,8.454.0000000,8.241.0000000,8.355.0000000,146.399
14/06/12,00:00:00,8.355.0000000,8.480.0000000,8.355.0000000,8.478.0000000,352.722
15/06/12,00:00:00,8.478.0000000,8.595.0000000,8.422.0000000,8.582.0000000,528.147
18/06/12,00:00:00,8.585.0000000,8.790.0000000,8.585.0000000,8.683.0000000,605.100
19/06/12,00:00:00,8.694.0000000,8.845.0000000,8.668.0000000,8.825.0000000,604.849
20/06/12,00:00:00,8.822.0000000,8.840.0000000,8.624.0000000,8.658.0000000,517.552
21/06/12,00:00:00,8.650.0000000,8.758.0000000,8.466.0000000,8.482.0000000,683.729
22/06/12,00:00:00,8.501.0000000,8.545.0000000,8.445.0000000,8.525.0000000,579.880
25/06/12,00:00:00,8.513.0000000,8.513.0000000,8.288.0000000,8.364.0000000,572.589
26/06/12,00:00:00,8.361.0000000,8.537.0000000,8.345.0000000,8.500.0000000,556.678
27/06/12,00:00:00,8.500.0000000,8.590.0000000,8.424.0000000,8.554.0000000,509.610
28/06/12,00:00:00,8.557.0000000,8.587.0000000,8.331.0000000,8.441.0000000,604.825
29/06/12,00:00:00,8.448.0000000,8.746.0000000,8.448.0000000,8.725.0000000,551.368
02/07/12,00:00:00,8.720.0000000,8.933.0000000,8.675.0000000,8.928.0000000,592.784
03/07/12,00:00:00,8.929.0000000,9.216.0000000,8.898.0000000,9.170.0000000,566.052
04/07/12,00:00:00,9.168.0000000,9.224.0000000,9.060.0000000,9.196.0000000,328.134
05/07/12,00:00:00,9.195.0000000,9.337.0000000,9.096.0000000,9.208.0000000,798.464
06/07/12,00:00:00,9.201.0000000,9.222.0000000,8.954.0000000,9.057.0000000,645.507
09/07/12,00:00:00,9.062.0000000,9.142.0000000,8.955.0000000,9.099.0000000,594.841
10/07/12,00:00:00,9.085.0000000,9.266.0000000,9.031.0000000,9.100.0000000,618.829
11/07/12,00:00:00,9.101.0000000,9.177.0000000,9.012.0000000,9.146.0000000,598.284
12/07/12,00:00:00,9.132.0000000,9.132.0000000,8.924.0000000,9.046.0000000,577.348
13/07/12,00:00:00,9.050.0000000,9.222.0000000,9.020.0000000,9.209.0000000,517.799
16/07/12,00:00:00,9.203.0000000,9.204.0000000,9.116.0000000,9.175.0000000,363.758
17/07/12,00:00:00,9.187.0000000,9.324.0000000,9.175.0000000,9.258.0000000,505.215
18/07/12,00:00:00,9.244.0000000,9.299.0000000,9.182.0000000,9.267.0000000,402.849
19/07/12,00:00:00,9.268.0000000,9.380.0000000,9.251.0000000,9.278.0000000,510.181
20/07/12,00:00:00,9.272.0000000,9.272.0000000,9.045.0000000,9.063.0000000,418.334
23/07/12,00:00:00,9.060.0000000,9.060.0000000,8.630.0000000,8.738.0000000,748.640
24/07/12,00:00:00,8.739.0000000,8.757.0000000,8.414.0000000,8.465.0000000,796.684
25/07/12,00:00:00,8.461.0000000,8.803.0000000,8.387.0000000,8.737.0000000,848.618
26/07/12,00:00:00,8.744.0000000,8.960.0000000,8.668.0000000,8.932.0000000,724.930
27/07/12,00:00:00,8.944.0000000,9.243.0000000,8.887.0000000,9.238.0000000,645.326
30/07/12,00:00:00,9.227.0000000,9.235.0000000,9.134.0000000,9.168.0000000,383.307
31/07/12,00:00:00,9.172.0000000,9.238.0000000,8.981.0000000,8.999.0000000,455.234
01/08/12,00:00:00,8.995.0000000,9.149.0000000,8.886.0000000,8.970.0000000,465.267
02/08/12,00:00:00,8.971.0000000,9.167.0000000,8.800.0000000,8.906.0000000,769.939
03/08/12,00:00:00,8.915.0000000,9.244.0000000,8.896.0000000,9.242.0000000,533.763
06/08/12,00:00:00,9.242.0000000,9.464.0000000,9.201.0000000,9.355.0000000,619.421
07/08/12,00:00:00,9.351.0000000,9.500.0000000,9.315.0000000,9.428.0000000,534.970
08/08/12,00:00:00,9.422.0000000,9.523.0000000,9.334.0000000,9.459.0000000,425.330
09/08/12,00:00:00,9.470.0000000,9.567.0000000,9.360.0000000,9.443.0000000,547.145
10/08/12,00:00:00,9.440.0000000,9.450.0000000,9.249.0000000,9.397.0000000,485.814
13/08/12,00:00:00,9.393.0000000,9.500.0000000,9.320.0000000,9.368.0000000,456.953
14/08/12,00:00:00,9.381.0000000,9.468.0000000,9.366.0000000,9.375.0000000,405.777
15/08/12,00:00:00,9.374.0000000,9.418.0000000,9.224.0000000,9.383.0000000,485.086
16/08/12,00:00:00,9.385.0000000,9.447.0000000,9.281.0000000,9.402.0000000,490.528
17/08/12,00:00:00,9.398.0000000,9.398.0000000,9.250.0000000,9.306.0000000,349.755
20/08/12,00:00:00,9.310.0000000,9.310.0000000,9.150.0000000,9.245.0000000,475.474
21/08/12,00:00:00,9.243.0000000,9.407.0000000,9.241.0000000,9.300.0000000,477.523
22/08/12,00:00:00,9.295.0000000,9.385.0000000,9.265.0000000,9.366.0000000,419.557
23/08/12,00:00:00,9.367.0000000,9.548.0000000,9.250.0000000,9.253.0000000,613.982
24/08/12,00:00:00,9.258.0000000,9.389.0000000,9.250.0000000,9.355.0000000,482.140
27/08/12,00:00:00,9.362.0000000,9.393.0000000,9.280.0000000,9.320.0000000,324.267
28/08/12,00:00:00,9.314.0000000,9.506.0000000,9.270.0000000,9.462.0000000,558.716
29/08/12,00:00:00,9.466.0000000,9.569.0000000,9.426.0000000,9.508.0000000,524.136
30/08/12,00:00:00,9.502.0000000,9.502.0000000,9.358.0000000,9.410.0000000,401.601
31/08/12,00:00:00,9.406.0000000,9.443.0000000,9.275.0000000,9.327.0000000,502.669
03/09/12,00:00:00,9.324.0000000,9.470.0000000,9.314.0000000,9.426.0000000,326.425
04/09/12,00:00:00,9.436.0000000,9.483.0000000,9.302.0000000,9.347.0000000,380.232
05/09/12,00:00:00,9.340.0000000,9.340.0000000,9.234.0000000,9.319.0000000,430.369
06/09/12,00:00:00,9.321.0000000,9.440.0000000,9.261.0000000,9.423.0000000,557.101
07/09/12,00:00:00,9.429.0000000,9.592.0000000,9.377.0000000,9.409.0000000,657.982
10/09/12,00:00:00,9.500.0000000,9.560.0000000,9.436.0000000,9.462.0000000,22.233
11/09/12,00:00:00,9.460.0000000,9.539.0000000,9.330.0000000,9.480.0000000,38.872
12/09/12,00:00:00,9.500.0000000,9.544.0000000,9.415.0000000,9.455.0000000,80.954
13/09/12,00:00:00,9.470.0000000,9.600.0000000,9.330.0000000,9.590.0000000,157.297
14/09/12,00:00:00,9.590.0000000,9.903.0000000,9.585.0000000,9.714.0000000,546.889
17/09/12,00:00:00,9.711.0000000,9.723.0000000,9.506.0000000,9.582.0000000,604.509
18/09/12,00:00:00,9.587.0000000,9.766.0000000,9.505.0000000,9.571.0000000,767.965
19/09/12,00:00:00,9.580.0000000,9.627.0000000,9.403.0000000,9.505.0000000,1.064.374
20/09/12,00:00:00,9.505.0000000,9.512.0000000,9.371.0000000,9.481.0000000,713.509
21/09/12,00:00:00,9.494.0000000,9.570.0000000,9.462.0000000,9.503.0000000,392.324
24/09/12,00:00:00,9.493.0000000,9.554.0000000,9.434.0000000,9.545.0000000,351.281
25/09/12,00:00:00,9.552.0000000,9.563.0000000,9.375.0000000,9.380.0000000,403.896
26/09/12,00:00:00,9.384.0000000,9.418.0000000,9.158.0000000,9.211.0000000,569.691
27/09/12,00:00:00,9.220.0000000,9.271.0000000,9.045.0000000,9.209.0000000,628.892
28/09/12,00:00:00,9.201.0000000,9.248.0000000,9.123.0000000,9.205.0000000,559.101
01/10/12,00:00:00,9.205.0000000,9.354.0000000,9.148.0000000,9.256.0000000,433.298
02/10/12,00:00:00,9.264.0000000,9.320.0000000,9.198.0000000,9.242.0000000,418.039
03/10/12,00:00:00,9.240.0000000,9.350.0000000,9.186.0000000,9.281.0000000,496.183
04/10/12,00:00:00,9.285.0000000,9.338.0000000,9.169.0000000,9.311.0000000,516.449
05/10/12,00:00:00,9.308.0000000,9.444.0000000,9.251.0000000,9.333.0000000,626.682
08/10/12,00:00:00,9.323.0000000,9.377.0000000,9.304.0000000,9.359.0000000,301.153
09/10/12,00:00:00,9.365.0000000,9.386.0000000,9.280.0000000,9.300.0000000,360.826
10/10/12,00:00:00,9.295.0000000,9.331.0000000,9.258.0000000,9.289.0000000,383.986
11/10/12,00:00:00,9.275.0000000,9.389.0000000,9.270.0000000,9.325.0000000,377.510
12/10/12,00:00:00,9.330.0000000,9.349.0000000,9.200.0000000,9.250.0000000,471.959
15/10/12,00:00:00,9.247.0000000,9.326.0000000,9.202.0000000,9.290.0000000,436.000
16/10/12,00:00:00,9.293.0000000,9.353.0000000,9.202.0000000,9.335.0000000,483.723
17/10/12,00:00:00,9.334.0000000,9.423.0000000,9.301.0000000,9.383.0000000,450.910
18/10/12,00:00:00,9.390.0000000,9.491.0000000,9.311.0000000,9.420.0000000,520.065
19/10/12,00:00:00,9.423.0000000,9.442.0000000,9.328.0000000,9.341.0000000,333.648
22/10/12,00:00:00,9.333.0000000,9.520.0000000,9.333.0000000,9.467.0000000,483.589
23/10/12,00:00:00,9.475.0000000,9.485.0000000,9.377.0000000,9.453.0000000,512.121
24/10/12,00:00:00,9.458.0000000,9.500.0000000,9.355.0000000,9.370.0000000,499.255
25/10/12,00:00:00,9.378.0000000,9.454.0000000,9.315.0000000,9.364.0000000,423.820
26/10/12,00:00:00,9.352.0000000,9.352.0000000,9.206.0000000,9.288.0000000,487.248
29/10/12,00:00:00,9.285.0000000,9.293.0000000,9.177.0000000,9.260.0000000,401.371
30/10/12,00:00:00,9.255.0000000,9.300.0000000,9.155.0000000,9.180.0000000,400.625
31/10/12,00:00:00,9.183.0000000,9.297.0000000,9.180.0000000,9.251.0000000,419.052
01/11/12,00:00:00,9.247.0000000,9.295.0000000,9.092.0000000,9.290.0000000,561.787
02/11/12,00:00:00,9.288.0000000,9.340.0000000,9.195.0000000,9.199.0000000,418.671
06/11/12,00:00:00,9.211.0000000,9.267.0000000,9.180.0000000,9.248.0000000,317.308
07/11/12,00:00:00,9.242.0000000,9.252.0000000,8.988.0000000,9.019.0000000,490.934
08/11/12,00:00:00,9.015.0000000,9.056.0000000,8.510.0000000,8.586.0000000,923.147
09/11/12,00:00:00,8.589.0000000,8.694.0000000,8.535.0000000,8.669.0000000,657.914
12/11/12,00:00:00,8.666.0000000,8.754.0000000,8.570.0000000,8.720.0000000,464.609
13/11/12,00:00:00,8.717.0000000,8.717.0000000,8.441.0000000,8.510.0000000,708.391
14/11/12,00:00:00,8.513.0000000,8.591.0000000,8.421.0000000,8.459.0000000,647.102
15/11/12,00:00:00,8.459.0000000,8.680.0000000,8.436.0000000,8.629.0000000,507.437
16/11/12,00:00:00,8.622.0000000,8.710.0000000,8.562.0000000,8.663.0000000,419.874
19/11/12,00:00:00,8.667.0000000,8.800.0000000,8.652.0000000,8.757.0000000,443.853
20/11/12,00:00:00,8.763.0000000,8.785.0000000,8.707.0000000,8.725.0000000,322.010
21/11/12,00:00:00,8.719.0000000,8.841.0000000,8.663.0000000,8.783.0000000,438.472
22/11/12,00:00:00,8.781.0000000,8.924.0000000,8.762.0000000,8.903.0000000,406.458
23/11/12,00:00:00,8.897.0000000,9.079.0000000,8.850.0000000,9.035.0000000,461.338
26/11/12,00:00:00,9.033.0000000,9.043.0000000,8.916.0000000,8.985.0000000,437.433
27/11/12,00:00:00,8.988.0000000,9.015.0000000,8.905.0000000,8.929.0000000,364.144
28/11/12,00:00:00,8.929.0000000,8.929.0000000,8.770.0000000,8.857.0000000,486.329
29/11/12,00:00:00,8.860.0000000,8.920.0000000,8.750.0000000,8.823.0000000,432.902
30/11/12,00:00:00,8.823.0000000,9.175.0000000,8.763.0000000,9.132.0000000,1.013.263
03/12/12,00:00:00,9.133.0000000,9.296.0000000,9.099.0000000,9.233.0000000,584.806
04/12/12,00:00:00,9.229.0000000,9.278.0000000,9.173.0000000,9.224.0000000,402.708
05/12/12,00:00:00,9.231.0000000,9.459.0000000,9.231.0000000,9.434.0000000,580.978
06/12/12,00:00:00,9.431.0000000,9.431.0000000,9.325.0000000,9.358.0000000,390.460
07/12/12,00:00:00,9.364.0000000,9.397.0000000,9.218.0000000,9.339.0000000,365.864
10/12/12,00:00:00,9.450.0000000,9.545.0000000,9.401.0000000,9.498.0000000,14.679
11/12/12,00:00:00,9.490.0000000,9.546.0000000,9.430.0000000,9.502.0000000,21.197
12/12/12,00:00:00,9.508.0000000,9.564.0000000,9.475.0000000,9.546.0000000,34.050
13/12/12,00:00:00,9.543.0000000,9.549.0000000,9.391.0000000,9.409.0000000,108.117
14/12/12,00:00:00,9.409.0000000,9.496.0000000,9.409.0000000,9.454.0000000,212.537
17/12/12,00:00:00,9.460.0000000,9.510.0000000,9.421.0000000,9.495.0000000,254.632
18/12/12,00:00:00,9.498.0000000,9.675.0000000,9.498.0000000,9.655.0000000,376.735
19/12/12,00:00:00,9.655.0000000,9.715.0000000,9.538.0000000,9.571.0000000,349.375
20/12/12,00:00:00,9.570.0000000,9.608.0000000,9.485.0000000,9.604.0000000,340.576
21/12/12,00:00:00,9.596.0000000,9.596.0000000,9.385.0000000,9.416.0000000,447.090
24/12/12,00:00:00,9.415.0000000,9.437.0000000,9.366.0000000,9.392.0000000,234.377
25/12/12,00:00:00,9.395.0000000,9.438.0000000,9.329.0000000,9.367.0000000,139.776
26/12/12,00:00:00,9.367.0000000,9.379.0000000,9.327.0000000,9.347.0000000,150.337
27/12/12,00:00:00,9.351.0000000,9.426.0000000,9.346.0000000,9.385.0000000,220.758
28/12/12,00:00:00,9.385.0000000,9.470.0000000,9.365.0000000,9.454.0000000,203.770
08/01/13,00:00:00,9.462.0000000,9.975.0000000,9.462.0000000,9.935.0000000,312.514
09/01/13,00:00:00,9.938.0000000,9.972.0000000,9.885.0000000,9.933.0000000,227.570
10/01/13,00:00:00,9.935.0000000,9.998.0000000,9.899.0000000,9.985.0000000,253.256
11/01/13,00:00:00,9.985.0000000,10.079.0000000,9.948.0000000,10.067.0000000,288.327
14/01/13,00:00:00,10.074.0000000,10.222.0000000,10.057.0000000,10.196.0000000,317.612
15/01/13,00:00:00,10.192.0000000,10.200.0000000,10.075.0000000,10.100.0000000,304.381
16/01/13,00:00:00,10.098.0000000,10.109.0000000,10.014.0000000,10.097.0000000,358.625
17/01/13,00:00:00,10.097.0000000,10.262.0000000,10.052.0000000,10.254.0000000,489.183
18/01/13,00:00:00,10.254.0000000,10.457.0000000,10.236.0000000,10.438.0000000,507.908
21/01/13,00:00:00,10.445.0000000,10.479.0000000,10.362.0000000,10.442.0000000,341.461
22/01/13,00:00:00,10.452.0000000,10.468.0000000,10.292.0000000,10.382.0000000,470.475
23/01/13,00:00:00,10.375.0000000,10.439.0000000,10.301.0000000,10.386.0000000,359.878
24/01/13,00:00:00,10.383.0000000,10.387.0000000,10.267.0000000,10.307.0000000,483.486
25/01/13,00:00:00,10.310.0000000,10.470.0000000,10.270.0000000,10.459.0000000,475.306
28/01/13,00:00:00,10.461.0000000,10.810.0000000,10.461.0000000,10.787.0000000,773.098
29/01/13,00:00:00,10.787.0000000,10.898.0000000,10.682.0000000,10.775.0000000,819.145
30/01/13,00:00:00,10.776.0000000,10.914.0000000,10.761.0000000,10.842.0000000,745.656
31/01/13,00:00:00,10.832.0000000,11.038.0000000,10.730.0000000,11.025.0000000,1.162.531
01/02/13,00:00:00,11.025.0000000,11.070.0000000,10.805.0000000,10.917.0000000,1.017.822
04/02/13,00:00:00,10.919.0000000,10.937.0000000,10.702.0000000,10.712.0000000,679.736
05/02/13,00:00:00,10.710.0000000,10.828.0000000,10.693.0000000,10.821.0000000,526.728
06/02/13,00:00:00,10.824.0000000,11.017.0000000,10.640.0000000,10.670.0000000,980.655
07/02/13,00:00:00,10.670.0000000,10.735.0000000,10.463.0000000,10.520.0000000,993.222
08/02/13,00:00:00,10.520.0000000,10.770.0000000,10.507.0000000,10.735.0000000,846.981
11/02/13,00:00:00,10.739.0000000,10.854.0000000,10.666.0000000,10.696.0000000,711.545
12/02/13,00:00:00,10.688.0000000,10.930.0000000,10.655.0000000,10.916.0000000,757.190
13/02/13,00:00:00,10.920.0000000,10.939.0000000,10.790.0000000,10.849.0000000,675.946
14/02/13,00:00:00,10.858.0000000,11.174.0000000,10.740.0000000,10.811.0000000,1.176.246
15/02/13,00:00:00,10.810.0000000,10.812.0000000,10.492.0000000,10.495.0000000,802.079
18/02/13,00:00:00,10.510.0000000,10.651.0000000,10.464.0000000,10.643.0000000,586.820
19/02/13,00:00:00,10.640.0000000,10.909.0000000,10.607.0000000,10.900.0000000,732.486
20/02/13,00:00:00,10.897.0000000,10.920.0000000,10.717.0000000,10.753.0000000,860.851
21/02/13,00:00:00,10.747.0000000,10.747.0000000,10.566.0000000,10.667.0000000,809.375
22/02/13,00:00:00,10.668.0000000,10.780.0000000,10.614.0000000,10.647.0000000,538.699
25/02/13,00:00:00,10.653.0000000,10.712.0000000,10.570.0000000,10.602.0000000,568.626
26/02/13,00:00:00,10.594.0000000,10.594.0000000,10.360.0000000,10.491.0000000,825.700
27/02/13,00:00:00,10.491.0000000,10.491.0000000,10.291.0000000,10.433.0000000,713.681
28/02/13,00:00:00,10.438.0000000,10.536.0000000,10.364.0000000,10.476.0000000,598.410
01/03/13,00:00:00,10.468.0000000,10.468.0000000,10.277.0000000,10.377.0000000,788.597
04/03/13,00:00:00,10.371.0000000,10.371.0000000,10.231.0000000,10.334.0000000,650.373
05/03/13,00:00:00,10.340.0000000,10.478.0000000,10.340.0000000,10.465.0000000,603.825
06/03/13,00:00:00,10.466.0000000,10.629.0000000,10.450.0000000,10.611.0000000,604.012
07/03/13,00:00:00,10.608.0000000,10.613.0000000,10.504.0000000,10.553.0000000,413.518
11/03/13,00:00:00,10.430.0000000,10.610.0000000,10.430.0000000,10.565.0000000,77.938
12/03/13,00:00:00,10.564.0000000,10.565.0000000,10.394.0000000,10.425.0000000,133.734
13/03/13,00:00:00,10.435.0000000,10.474.0000000,10.275.0000000,10.304.0000000,252.299
14/03/13,00:00:00,10.302.0000000,10.399.0000000,10.233.0000000,10.375.0000000,421.906
15/03/13,00:00:00,10.377.0000000,10.436.0000000,10.262.0000000,10.284.0000000,581.407
18/03/13,00:00:00,10.281.0000000,10.281.0000000,9.803.0000000,9.868.0000000,922.060
19/03/13,00:00:00,9.877.0000000,9.990.0000000,9.740.0000000,9.798.0000000,1.143.711
20/03/13,00:00:00,9.799.0000000,10.159.0000000,9.799.0000000,10.150.0000000,1.195.733
21/03/13,00:00:00,10.135.0000000,10.190.0000000,9.932.0000000,9.960.0000000,915.473
22/03/13,00:00:00,9.955.0000000,9.960.0000000,9.769.0000000,9.770.0000000,714.742
25/03/13,00:00:00,9.772.0000000,9.960.0000000,9.621.0000000,9.671.0000000,698.202
26/03/13,00:00:00,9.680.0000000,9.787.0000000,9.538.0000000,9.650.0000000,959.354
27/03/13,00:00:00,9.650.0000000,9.682.0000000,9.450.0000000,9.579.0000000,885.081
28/03/13,00:00:00,9.575.0000000,9.813.0000000,9.422.0000000,9.805.0000000,1.042.945
29/03/13,00:00:00,9.802.0000000,9.809.0000000,9.705.0000000,9.759.0000000,253.798
01/04/13,00:00:00,9.758.0000000,9.833.0000000,9.628.0000000,9.650.0000000,560.656
02/04/13,00:00:00,9.654.0000000,9.808.0000000,9.654.0000000,9.749.0000000,669.424
03/04/13,00:00:00,9.750.0000000,9.831.0000000,9.677.0000000,9.705.0000000,642.764
04/04/13,00:00:00,9.707.0000000,9.966.0000000,9.691.0000000,9.882.0000000,918.578
05/04/13,00:00:00,9.879.0000000,9.909.0000000,9.685.0000000,9.822.0000000,734.121
08/04/13,00:00:00,9.822.0000000,9.920.0000000,9.808.0000000,9.913.0000000,467.176
09/04/13,00:00:00,9.918.0000000,10.135.0000000,9.886.0000000,10.119.0000000,700.662
10/04/13,00:00:00,10.120.0000000,10.178.0000000,10.041.0000000,10.166.0000000,669.115
11/04/13,00:00:00,10.169.0000000,10.175.0000000,10.029.0000000,10.053.0000000,501.541
12/04/13,00:00:00,10.050.0000000,10.110.0000000,9.881.0000000,9.955.0000000,632.168
15/04/13,00:00:00,9.944.0000000,9.944.0000000,9.568.0000000,9.578.0000000,729.446
16/04/13,00:00:00,9.581.0000000,9.787.0000000,9.581.0000000,9.718.0000000,595.078
17/04/13,00:00:00,9.710.0000000,9.758.0000000,9.455.0000000,9.560.0000000,823.689
18/04/13,00:00:00,9.552.0000000,9.742.0000000,9.505.0000000,9.660.0000000,737.137
19/04/13,00:00:00,9.679.0000000,9.785.0000000,9.647.0000000,9.749.0000000,618.765
22/04/13,00:00:00,9.749.0000000,9.892.0000000,9.563.0000000,9.626.0000000,696.008
23/04/13,00:00:00,9.626.0000000,9.750.0000000,9.490.0000000,9.729.0000000,760.654
24/04/13,00:00:00,9.731.0000000,9.957.0000000,9.721.0000000,9.913.0000000,705.678
25/04/13,00:00:00,9.920.0000000,10.022.0000000,9.680.0000000,9.704.0000000,788.150
26/04/13,00:00:00,9.699.0000000,9.776.0000000,9.591.0000000,9.671.0000000,611.617
29/04/13,00:00:00,9.663.0000000,9.767.0000000,9.545.0000000,9.570.0000000,451.296
30/04/13,00:00:00,9.580.0000000,10.037.0000000,9.543.0000000,10.036.0000000,717.509
02/05/13,00:00:00,10.030.0000000,10.250.0000000,9.900.0000000,10.243.0000000,565.695
03/05/13,00:00:00,10.244.0000000,10.414.0000000,10.130.0000000,10.389.0000000,524.504
06/05/13,00:00:00,10.400.0000000,10.417.0000000,10.267.0000000,10.326.0000000,423.717
07/05/13,00:00:00,10.327.0000000,10.628.0000000,10.241.0000000,10.597.0000000,671.032
08/05/13,00:00:00,10.597.0000000,10.699.0000000,10.499.0000000,10.669.0000000,514.058
10/05/13,00:00:00,10.654.0000000,10.658.0000000,10.409.0000000,10.477.0000000,367.130
13/05/13,00:00:00,10.467.0000000,10.467.0000000,10.246.0000000,10.383.0000000,711.867
14/05/13,00:00:00,10.395.0000000,10.546.0000000,10.328.0000000,10.461.0000000,604.175
